,Model,dataset,Replacement Strategy,accuracy,time,features
349,Linear Regression,germany,Uniform,98.94899012,0.0006812601376,7
350,Linear Regression,germany,Zero,86.91839960271895,1.517749555e-05,7
351,Linear Regression,raotbl6,Conditional,99.96071073,0.00679,7
352,Linear Regression,raotbl6,Copula,99.9607107,0.006293,7
353,Linear Regression,raotbl6,Gaussian,99.96071068,0.006152,7
354,Linear Regression,raotbl6,Marginal,99.96071071,0.019310046405,7
355,Linear Regression,raotbl6,Mean,99.96071071,1.5178947909999999e-05,7
357,Linear Regression,raotbl6,Separate models,99.96071071,3.616300344,7
358,Linear Regression,raotbl6,Uniform,99.72668472,0.0001538583476,7
359,Linear Regression,raotbl6,Zero,86.91839960271895,1.539509471e-05,7
360,Linear Regression,raotbl7,Conditional,99.50773627,0.007437,7
361,Linear Regression,raotbl7,Copula,99.50773635,0.007057,7
362,Linear Regression,raotbl7,Gaussian,99.50773618,0.007037,7
363,Linear Regression,raotbl7,Marginal,99.50773621,0.021838059365000002,7
364,Linear Regression,raotbl7,Mean,99.50773621,1.6913646600000002e-05,7
366,Linear Regression,raotbl7,Separate models,99.95077362,3.193505526,7
367,Linear Regression,raotbl7,Uniform,99.5365516,0.00017079175390000002,7
368,Linear Regression,raotbl7,Zero,86.91839960271895,1.570835346e-05,7
369,Linear Regression,realestate,Conditional,99.89630123,0.008044,7
370,Linear Regression,realestate,Copula,99.8963012,0.008613,7
371,Linear Regression,realestate,Gaussian,99.8963012,0.009753,7
372,Linear Regression,realestate,Marginal,99.89630119,0.029840226330000004,7
373,Linear Regression,realestate,Mean,99.89630119,1.614187756e-05,7
375,Linear Regression,realestate,Separate models,99.89630119,1.25460434,7
376,Linear Regression,realestate,Uniform,98.94899012,0.0005626043415,7
377,Linear Regression,realestate,Zero,86.91839960271895,1.4946930600000001e-05,7
378,Linear Regression,slump,Conditional,95.51155922,0.008064,7
379,Linear Regression,slump,Copula,95.51155891,0.00805,7
380,Linear Regression,slump,Gaussian,95.51155891,0.007282,7
381,Linear Regression,slump,Marginal,95.51155917,0.016444021465,7
382,Linear Regression,slump,Mean,95.51155917,1.6707322180000002e-05,7
384,Linear Regression,slump,Separate models,98.51155917,3.612789154,7
385,Linear Regression,slump,Uniform,95.53426013,7.628799186e-05,7
386,Linear Regression,slump,Zero,86.91839960271895,1.639590544e-05,7
387,Linear Regression,slump-flow,Conditional,96.58291044,0.008691,7
388,Linear Regression,slump-flow,Copula,96.5829102,0.006801,7
389,Linear Regression,slump-flow,Gaussian,96.58291018,0.007344,7
390,Linear Regression,slump-flow,Marginal,96.58291038,0.012906000195,7
391,Linear Regression,slump-flow,Mean,96.58291038,1.695036888e-05,7
393,Linear Regression,slump-flow,Separate models,96.58291038,3.092681408,7
394,Linear Regression,slump-flow,Uniform,95.53426013,3.921393086e-05,7
395,Linear Regression,slump-flow,Zero,86.91839960271895,1.553346129e-05,7
396,Linear Regression,slump-mpa,Conditional,99.49657014,0.007474,7
397,Linear Regression,slump-mpa,Copula,99.49657006,0.006265,7
398,Linear Regression,slump-mpa,Gaussian,99.49657008,0.006127,7
399,Linear Regression,slump-mpa,Marginal,99.49657015,0.01678487273,7
400,Linear Regression,slump-mpa,Mean,99.49657015,1.6573176660000002e-05,7
402,Linear Regression,slump-mpa,Separate models,99.49657015,2.506527662,7
403,Linear Regression,slump-mpa,Uniform,98.94899012,9.050968815e-05,7
404,Linear Regression,slump-mpa,Zero,99.14504041,1.5838917560000002e-05,7
405,Linear Regression,wholesale,Marginal,99.0213923,0.000327,7
406,Linear Regression,wholesale,Conditional,99.18731367,0.008485,7
407,Linear Regression,wholesale,Copula,99.18731381,0.008743,7
408,Linear Regression,wholesale,Gaussian,99.18731375,0.009217,7
409,Linear Regression,wholesale,Mean,99.88606641,1.490460683e-05,7
411,Linear Regression,wholesale,Separate models,99.18731379,6.984333038,7
412,Linear Regression,wholesale,Uniform,98.94899012,0.00029975406170000004,7
413,Linear Regression,wholesale,Zero,86.91839960271895,1.419686291e-05,7
414,Linear Regression,californiahousing,Marginal,71.9237123,0.00061165,8
415,Linear Regression,californiahousing,Conditional,73.44765385,0.015541,8
416,Linear Regression,californiahousing,Copula,73.44765315,0.017561,8
417,Linear Regression,californiahousing,Gaussian,73.44765327,0.017681,8
418,Linear Regression,californiahousing,Mean,99.55384291,1.640994621e-05,8
420,Linear Regression,californiahousing,Separate models,99.76223399,35.60351896,8
421,Linear Regression,californiahousing,Uniform,98.94899012,0.001673889229,8
422,Linear Regression,californiahousing,Zero,86.91839960271895,1.7015948439999998e-05,8
423,Linear Regression,cms,Marginal,98.82437276,0.00056741,8
424,Linear Regression,cms,Conditional,99.96650644,0.014651,8
425,Linear Regression,cms,Copula,99.96650638,0.017306,8
426,Linear Regression,cms,Gaussian,99.96650644,0.017275,8
427,Linear Regression,cms,Mean,99.98727973,1.788697821e-05,8
429,Linear Regression,cms,Separate models,99.54035137,25.40828586,8
430,Linear Regression,cms,Uniform,97.29797678,0.001674502702,8
431,Linear Regression,cms,Zero,86.91839960271895,1.632937518e-05,8
432,Linear Regression,concrete,Conditional,99.96650644,0.01518,8
433,Linear Regression,concrete,Marginal,99.890233,0.00056615,8
434,Linear Regression,concrete,Copula,99.96650638,0.017402,8
435,Linear Regression,concrete,Gaussian,99.96650644,0.017464,8
436,Linear Regression,concrete,Mean,99.98727973,1.638450767e-05,8
438,Linear Regression,concrete,Separate models,99.54035137,20.70948291,8
439,Linear Regression,concrete,Uniform,97.28401056,0.001536309597,8
440,Linear Regression,concrete,Zero,86.91839960271895,1.6447312899999998e-05,8
441,Linear Regression,crab,Conditional,99.20610727,0.015608,8
442,Linear Regression,crab,Marginal,98.265041,0.0006712,8
443,Linear Regression,crab,Copula,99.20610719,0.019295,8
444,Linear Regression,crab,Gaussian,99.20610717,0.017822,8
445,Linear Regression,crab,Mean,99.73056479,1.782561071e-05,8
447,Linear Regression,crab,Separate models,99.90519945,13.89085579,8
448,Linear Regression,crab,Uniform,96.62710131,0.001868588417,8
