,Model,dataset,Replacement Strategy,accuracy,time,features
169,Decision Trees,boston,Gaussian,96.38448473,0.314216,13
170,Decision Trees,boston,Copula,96.44844847,0.314216,13
171,Decision Trees,brainweight,Separate models,98.52366254,0.03018260002,3
172,Decision Trees,brainweight,Zero,80.36843796043851,1.135008245e-05,3
173,Decision Trees,brainweight,Mean,99.33963322,1.164403143e-05,3
175,Decision Trees,brainweight,Uniform,80.36843796043851,2.922116352e-05,3
176,Decision Trees,brainweight,Marginal,98.52366254,0.0002666,3
177,Decision Trees,brainweight,Conditional,98.5236626,0.005526,3
178,Decision Trees,brainweight,Gaussian,98.5236627,0.005079,3
179,Decision Trees,brainweight,Copula,98.52366263,0.00509,3
180,Decision Trees,californiahousing,Separate models,99.82949276,126.3813062,8
181,Decision Trees,californiahousing,Zero,86.42046583,2.045999151e-05,8
182,Decision Trees,californiahousing,Mean,80.36843796043851,2.1282882399999996e-05,8
184,Decision Trees,californiahousing,Uniform,94.33405171,0.001285091321,8
185,Decision Trees,californiahousing,Marginal,98.90057634,0.00077445,8
186,Decision Trees,californiahousing,Conditional,98.90057641,0.015699,8
187,Decision Trees,californiahousing,Gaussian,98.90057618,0.016989,8
188,Decision Trees,californiahousing,Copula,98.90057623,0.017051,8
189,Decision Trees,cancer,Separate models,99.97242124,3.574584246,9
190,Decision Trees,cancer,Zero,80.36843796043851,2.183995416e-05,9
191,Decision Trees,cancer,Mean,98.59957435,2.18714655e-05,9
193,Decision Trees,cancer,Uniform,80.36843796043851,0.0008862178469,9
194,Decision Trees,cancer,Marginal,99.97242123,0.0009194000000000001,9
195,Decision Trees,cancer,Conditional,99.97242127,0.015699,9
196,Decision Trees,cancer,Gaussian,99.97242131,0.020408,9
197,Decision Trees,cancer,Copula,99.9724212,0.019361,9
198,Decision Trees,casp,Separate models,99.75508681,1001.450549,9
199,Decision Trees,casp,Zero,82.25984494,2.2768692539999996e-05,9
200,Decision Trees,casp,Mean,96.74374562,2.3412437149999998e-05,9
202,Decision Trees,casp,Uniform,80.36843796043851,0.00155583606,9
203,Decision Trees,casp,Marginal,99.78079599,0.0013164000000000001,9
204,Decision Trees,casp,Conditional,99.78079602,0.022457,9
205,Decision Trees,casp,Gaussian,99.78079593,0.025127,9
206,Decision Trees,casp,Copula,99.780796,0.024311,9
207,Decision Trees,chanceadmit,Separate models,99.98906789,0.6613576412,7
208,Decision Trees,chanceadmit,Zero,80.36843796043851,1.76539385e-05,7
209,Decision Trees,chanceadmit,Mean,80.36843796043851,1.818698464e-05,7
211,Decision Trees,chanceadmit,Uniform,80.36843796043851,0.00014681614709999999,7
212,Decision Trees,chanceadmit,Marginal,99.98906789,0.0004168,7
213,Decision Trees,chanceadmit,Conditional,99.98906791,0.008592,7
214,Decision Trees,chanceadmit,Gaussian,99.98906792,0.008082,7
215,Decision Trees,chanceadmit,Copula,99.98906791,0.008096,7
216,Decision Trees,chickweight,Separate models,99.37139089,0.01521110535,3
217,Decision Trees,chickweight,Zero,80.36843796043851,1.1396482979999999e-05,3
218,Decision Trees,chickweight,Mean,98.75116284,1.1392188949999998e-05,3
220,Decision Trees,chickweight,Uniform,91.95485509,7.246668301e-05,3
221,Decision Trees,chickweight,Marginal,99.37139089,0.0004179,3
222,Decision Trees,chickweight,Conditional,99.37139087,0.006834,3
223,Decision Trees,chickweight,Gaussian,99.37139092,0.006471,3
224,Decision Trees,chickweight,Copula,99.37139091,0.006394,3
225,Decision Trees,cms,Separate models,99.75549586,2.983518362,8
226,Decision Trees,cms,Zero,80.36843796043851,1.9577915020000002e-05,8
227,Decision Trees,cms,Mean,99.05539854,1.990582004e-05,8
229,Decision Trees,cms,Uniform,80.36843796043851,0.001123012662,8
230,Decision Trees,cms,Marginal,99.18789479,0.00079545,8
231,Decision Trees,cms,Conditional,99.18789479,0.014809,8
232,Decision Trees,cms,Gaussian,99.18789524,0.017278,8
233,Decision Trees,cms,Copula,99.18789491,0.016455,8
234,Decision Trees,computer,Separate models,97.91659206,0.5619831085,7
235,Decision Trees,computer,Zero,59.34575593,1.7942242e-05,7
236,Decision Trees,computer,Mean,87.7981005,1.786967982e-05,7
238,Decision Trees,computer,Uniform,80.36843796043851,0.0001667681604,7
239,Decision Trees,computer,Marginal,97.91659206,0.0003388,7
240,Decision Trees,computer,Conditional,97.91659232,0.009991,7
241,Decision Trees,computer,Gaussian,97.91659304,0.007079,7
242,Decision Trees,computer,Copula,97.91659225,0.00703,7
243,Decision Trees,concrete,Separate models,99.75549586,2.998391628,8
244,Decision Trees,concrete,Zero,80.36843796043851,1.941373131e-05,8
245,Decision Trees,concrete,Mean,99.05539854,1.9544370250000002e-05,8
247,Decision Trees,concrete,Uniform,80.36843796043851,0.0011152004980000002,8
248,Decision Trees,concrete,Marginal,99.18789479,0.000767,8
249,Decision Trees,concrete,Conditional,99.18789479,0.015398,8
250,Decision Trees,concrete,Gaussian,99.18789524,0.014751,8
251,Decision Trees,concrete,Copula,99.18789491,0.016375,8
252,Decision Trees,const-maint,Separate models,99.94960947,0.03307461739,4
253,Decision Trees,const-maint,Zero,77.77777778,1.412933523e-05,4
254,Decision Trees,const-maint,Mean,77.77777778,1.4322020789999999e-05,4
256,Decision Trees,const-maint,Uniform,77.77777778,4.804329439e-06,4
257,Decision Trees,const-maint,Marginal,99.94960947,0.00021995,4
258,Decision Trees,const-maint,Conditional,99.94960951,0.004658,4
259,Decision Trees,const-maint,Gaussian,99.94960946,0.004089,4
260,Decision Trees,const-maint,Copula,99.94960951,0.00413,4
261,Decision Trees,country-data,Separate models,99.754578,4.938846827,9
262,Decision Trees,country-data,Zero,52.10953634,2.188631466e-05,9
263,Decision Trees,country-data,Mean,96.9752183,2.1357919489999998e-05,9
265,Decision Trees,country-data,Uniform,52.10953634,0.0002212408611,9
266,Decision Trees,country-data,Marginal,99.754578,0.00063515,9
267,Decision Trees,country-data,Conditional,99.75457812,0.012326,9
268,Decision Trees,country-data,Gaussian,99.75457804,0.014342,9
269,Decision Trees,country-data,Copula,99.75457793,0.01402,9
270,Decision Trees,crab,Separate models,99.92732568,12.92065239,8
271,Decision Trees,crab,Zero,80.36843796043851,1.9906715910000002e-05,8
272,Decision Trees,crab,Mean,84.50128502,2.04093962e-05,8
274,Decision Trees,crab,Uniform,80.36843796043851,0.0010926886870000002,8
275,Decision Trees,crab,Marginal,99.97268665,0.0007955,8
276,Decision Trees,crab,Conditional,99.97268666,0.015634,8
277,Decision Trees,crab,Gaussian,99.97268677,0.017321,8
278,Decision Trees,crab,Copula,99.97268674,0.017674,8
279,Decision Trees,cust,Separate models,97.4671383,2.861197948,8
280,Decision Trees,cust,Zero,80.36843796043851,1.994267053e-05,8
281,Decision Trees,cust,Mean,99.95981017,1.969990781e-05,8
283,Decision Trees,cust,Uniform,80.36843796043851,0.0009142373443,8
284,Decision Trees,cust,Marginal,97.46713827,0.0007499,8
285,Decision Trees,cust,Conditional,97.46713846,0.014351,8
286,Decision Trees,cust,Gaussian,97.46713753,0.01479,8
287,Decision Trees,cust,Copula,97.46713836,0.014786,8
288,Decision Trees,diabetes,Separate models,99.40742823,2.760393143,8
289,Decision Trees,diabetes,Zero,75.08439513,1.9511641480000002e-05,8
290,Decision Trees,diabetes,Mean,94.67103501,2.007758524e-05,8
292,Decision Trees,diabetes,Uniform,63.06799009,0.001025692351,8
293,Decision Trees,diabetes,Marginal,99.40742827,0.0006758000000000001,8
294,Decision Trees,diabetes,Conditional,99.40742822,0.01382,8
295,Decision Trees,diabetes,Gaussian,99.40742827,0.014192,8
296,Decision Trees,diabetes,Copula,99.40742826,0.013895,8
297,Decision Trees,diamond,Separate models,99.99970382,2.576568842,7
298,Decision Trees,diamond,Zero,80.36843796043851,1.803547686e-05,7
299,Decision Trees,diamond,Mean,97.49600888,1.828083125e-05,7
301,Decision Trees,diamond,Uniform,89.83009909,0.001097272179,7
302,Decision Trees,diamond,Marginal,99.55726842,0.00060715,7
303,Decision Trees,diamond,Conditional,99.55726844,0.011797,7
304,Decision Trees,diamond,Gaussian,99.55726868,0.014133,7
305,Decision Trees,diamond,Copula,99.55726841,0.012038,7
306,Decision Trees,diamonds_filter,Separate models,99.08631219,0.0464963913,4
307,Decision Trees,diamonds_filter,Zero,80.36843796043851,1.268844412e-05,4
308,Decision Trees,diamonds_filter,Mean,85.61433255,1.294874182e-05,4
310,Decision Trees,diamonds_filter,Uniform,93.90523249,0.00010270191439999999,4
311,Decision Trees,diamonds_filter,Marginal,99.08631221,0.0003725,4
312,Decision Trees,diamonds_filter,Conditional,99.08631224,0.00691,4
313,Decision Trees,diamonds_filter,Gaussian,99.08631205,0.006189,4
314,Decision Trees,diamonds_filter,Copula,99.08631197,0.006837,4
315,Decision Trees,diamonds_select,Separate models,99.96763378,0.05955934525,4
316,Decision Trees,diamonds_select,Zero,80.36843796043851,1.2542984699999999e-05,4
317,Decision Trees,diamonds_select,Mean,80.36843796043851,1.318318916e-05,4
319,Decision Trees,diamonds_select,Uniform,73.9681312,0.0001564421553,4
320,Decision Trees,diamonds_select,Marginal,99.96763378,0.00042760000000000004,4
321,Decision Trees,diamonds_select,Conditional,99.96763377,0.013312,4
322,Decision Trees,diamonds_select,Gaussian,99.96763384,0.008783,4
323,Decision Trees,diamonds_select,Copula,99.96763385,0.008772,4
324,Decision Trees,economics,Separate models,98.49639355,0.05400443077,4
325,Decision Trees,economics,Zero,80.36843796043851,1.2679012200000001e-05,4
326,Decision Trees,economics,Mean,94.64112201,1.2671044e-05,4
328,Decision Trees,economics,Uniform,80.36843796043851,0.00010095875390000001,4
329,Decision Trees,economics,Marginal,98.49639355,0.0003273,4
330,Decision Trees,economics,Conditional,98.4963938,0.006787,4
331,Decision Trees,economics,Gaussian,98.49639449,0.006539,4
332,Decision Trees,economics,Copula,98.49639396,0.006765,4
333,Decision Trees,employee,Separate models,99.65002665,16.96482038,9
334,Decision Trees,employee,Zero,83.78649435,2.196846586e-05,9
335,Decision Trees,employee,Mean,93.94619354,2.1903789399999998e-05,9
337,Decision Trees,employee,Uniform,97.41408838,0.0014210655670000001,9
338,Decision Trees,employee,Marginal,99.72330424,0.0013599999999999999,9
339,Decision Trees,employee,Conditional,99.72330421,0.021231,9
340,Decision Trees,employee,Gaussian,99.72330439,0.024946,9
341,Decision Trees,employee,Copula,99.72330448,0.023993,9
342,Decision Trees,energy,Separate models,99.99124561,4.167325497,9
343,Decision Trees,energy,Zero,80.36843796043851,2.1610973389999996e-05,9
344,Decision Trees,energy,Mean,93.83167115,2.132664515e-05,9
346,Decision Trees,energy,Uniform,80.36843796043851,0.0009874401331,9
347,Decision Trees,energy,Marginal,99.99124561,0.0021977,9
348,Decision Trees,energy,Conditional,99.99124561,0.019052,9
349,Decision Trees,energy,Gaussian,99.99124565,0.022411,9
350,Decision Trees,energy,Copula,99.99124562,0.021636,9
351,Decision Trees,energy_cool,Separate models,99.97488376,1.530465364,8
352,Decision Trees,energy_cool,Zero,80.36843796043851,1.951363143e-05,8
353,Decision Trees,energy_cool,Mean,80.36843796043851,1.92597438e-05,8
355,Decision Trees,energy_cool,Uniform,80.36843796043851,0.001081872835,8
356,Decision Trees,energy_cool,Marginal,99.97488376,0.00067305,8
357,Decision Trees,energy_cool,Conditional,99.97488376,0.011694,8
358,Decision Trees,energy_cool,Gaussian,99.97488381,0.013983,8
359,Decision Trees,energy_cool,Copula,99.97488378,0.014356,8
360,Decision Trees,energy_heat,Separate models,99.9677927,1.544126034,8
361,Decision Trees,energy_heat,Zero,80.36843796043851,2.021870275e-05,8
362,Decision Trees,energy_heat,Mean,80.36843796043851,1.954177233e-05,8
364,Decision Trees,energy_heat,Uniform,56.0860016,0.0008440777349000001,8
365,Decision Trees,energy_heat,Marginal,99.9677927,0.0006669,8
366,Decision Trees,energy_heat,Conditional,99.96779271,0.013677,8
