,Model,dataset,Replacement Strategy,accuracy,time,features
349,Random Forest,france,Gaussian,99.53576302,0.013104,7
350,Random Forest,france,Copula,99.53577047,0.013439,7
351,Random Forest,germany,Separate models,99.96896833,10817.14099,7
352,Random Forest,germany,Zero,80.63903293457246,0.000347684106,7
353,Random Forest,germany,Mean,63.59607124,0.0004296606013,7
355,Random Forest,germany,Uniform,70.81013198,0.08021643816,7
356,Random Forest,germany,Marginal,99.87206845,0.0006299,7
357,Random Forest,germany,Conditional,99.87206848,0.013346,7
358,Random Forest,germany,Gaussian,99.87206821,0.012903,7
359,Random Forest,germany,Copula,99.87206837,0.011978,7
360,Random Forest,raotbl6,Separate models,99.90431782,1292.65782,7
361,Random Forest,raotbl6,Zero,80.63903293457246,0.0003231475644,7
362,Random Forest,raotbl6,Mean,96.73726502,0.0002815087598,7
364,Random Forest,raotbl6,Uniform,80.63903293457246,0.003328075572,7
365,Random Forest,raotbl6,Marginal,99.91538525,0.00032155,7
366,Random Forest,raotbl6,Conditional,99.91538527,0.006496,7
367,Random Forest,raotbl6,Gaussian,99.91538525,0.006947,7
368,Random Forest,raotbl6,Copula,99.91538525,0.013104,7
369,Random Forest,raotbl7,Separate models,99.0856875,681.6566336,7
370,Random Forest,raotbl7,Zero,80.63903293457246,0.0003116983437,7
371,Random Forest,raotbl7,Mean,92.4082715,0.0002976674917,7
373,Random Forest,raotbl7,Uniform,80.63903293457246,0.0034793278710000004,7
374,Random Forest,raotbl7,Marginal,99.04034087,0.0003229,7
375,Random Forest,raotbl7,Conditional,99.04034101,0.006442,7
376,Random Forest,raotbl7,Gaussian,99.04034084,0.007884,7
377,Random Forest,raotbl7,Copula,99.04034107,0.014105,7
378,Random Forest,realestate,Separate models,99.97596712,890.1279848,7
379,Random Forest,realestate,Zero,80.63903293457246,0.00033787050389999995,7
380,Random Forest,realestate,Mean,80.63903293457246,0.0003606535205,7
382,Random Forest,realestate,Uniform,98.24982784,0.02007728508,7
383,Random Forest,realestate,Marginal,99.99716721,0.0005149,7
384,Random Forest,realestate,Conditional,99.9971672,0.008727,7
385,Random Forest,realestate,Gaussian,99.99716725,0.010128,7
386,Random Forest,realestate,Copula,99.9971672,0.008834,7
387,Random Forest,slump,Separate models,99.65671977,679.0060003,7
388,Random Forest,slump,Zero,80.63903293457246,0.0002990051859,7
389,Random Forest,slump,Mean,80.63903293457246,0.00032792136249999997,7
391,Random Forest,slump,Uniform,80.63903293457246,0.0041101816610000005,7
392,Random Forest,slump,Marginal,99.70759822,0.00031,7
393,Random Forest,slump,Conditional,99.70759814,0.006077,7
394,Random Forest,slump,Gaussian,99.70759821,0.008372,7
395,Random Forest,slump,Copula,99.70759823,0.012454,7
396,Random Forest,slump-flow,Separate models,99.88106039,1354.478675,7
397,Random Forest,slump-flow,Zero,80.63903293457246,0.00030629263199999997,7
398,Random Forest,slump-flow,Mean,43.05690826,0.00032219044600000004,7
400,Random Forest,slump-flow,Uniform,80.63903293457246,0.004113190272,7
401,Random Forest,slump-flow,Marginal,99.93785769,0.00031005,7
402,Random Forest,slump-flow,Conditional,99.93785767,0.006648,7
403,Random Forest,slump-flow,Gaussian,99.93785772,0.006587,7
404,Random Forest,slump-flow,Copula,99.93785771,0.006948,7
405,Random Forest,slump-mpa,Separate models,99.83586483,1366.970731,7
406,Random Forest,slump-mpa,Zero,42.41932074,0.0003015632139,7
407,Random Forest,slump-mpa,Mean,80.63903293457246,0.00031699050880000003,7
409,Random Forest,slump-mpa,Uniform,51.87080001,0.005262286754,7
410,Random Forest,slump-mpa,Marginal,99.64466595,0.00030465,7
411,Random Forest,slump-mpa,Conditional,99.64466594,0.006029,7
412,Random Forest,slump-mpa,Gaussian,99.64466556,0.006498,7
413,Random Forest,slump-mpa,Copula,99.64466581,0.011877,7
414,Random Forest,wholesale,Separate models,99.41415496,1010.182076,7
415,Random Forest,wholesale,Zero,95.22151739,0.00034442559990000005,7
416,Random Forest,wholesale,Mean,99.99298605,0.0003748125083,7
418,Random Forest,wholesale,Uniform,96.50241264,0.01700927643,7
419,Random Forest,wholesale,Marginal,99.44265148,0.00043765000000000004,7
420,Random Forest,wholesale,Conditional,99.44265148,0.008479,7
421,Random Forest,wholesale,Gaussian,99.44265174,0.00977,7
422,Random Forest,wholesale,Copula,99.44265148,0.009844,7
423,Random Forest,californiahousing,Separate models,99.75662699,101161.2658,8
424,Random Forest,californiahousing,Zero,80.63903293457246,0.0004953106692,8
425,Random Forest,californiahousing,Mean,69.5654077,0.0004451751586,8
427,Random Forest,californiahousing,Uniform,91.55582981,0.10997142,8
428,Random Forest,californiahousing,Marginal,99.1932113,0.0007605,8
429,Random Forest,californiahousing,Conditional,99.19321137,0.015516,8
430,Random Forest,californiahousing,Gaussian,99.19321133,0.016876,8
431,Random Forest,californiahousing,Copula,99.19321129,0.016006,8
432,Random Forest,cms,Separate models,99.91379702,5813.525453,8
433,Random Forest,cms,Zero,80.63903293457246,0.00034752577,8
434,Random Forest,cms,Mean,80.00796619,0.00042365785009999997,8
436,Random Forest,cms,Uniform,80.63903293457246,0.07060839466,8
437,Random Forest,cms,Marginal,99.93449047,0.00066675,8
438,Random Forest,cms,Conditional,99.93449048,0.015711,8
439,Random Forest,cms,Gaussian,99.93449064,0.016576,8
440,Random Forest,cms,Copula,99.93449053,0.016931,8
441,Random Forest,concrete,Separate models,99.91379702,6576.097794,8
442,Random Forest,concrete,Zero,80.63903293457246,0.0003905856544,8
443,Random Forest,concrete,Mean,80.00796619,0.00038535471690000005,8
445,Random Forest,concrete,Uniform,80.63903293457246,0.07154096153,8
446,Random Forest,concrete,Marginal,99.93449047,0.00073105,8
447,Random Forest,concrete,Conditional,99.93449048,0.015888,8
448,Random Forest,concrete,Gaussian,99.93449064,0.017449,8
449,Random Forest,concrete,Copula,99.93449053,0.016735,8
450,Random Forest,crab,Separate models,99.66820609,11372.18751,8
451,Random Forest,crab,Zero,80.63903293457246,0.0004052168731,8
452,Random Forest,crab,Mean,98.58315148,0.00045268060220000005,8
454,Random Forest,crab,Uniform,56.14901063,0.07393405651,8
455,Random Forest,crab,Marginal,99.53146257,0.00077995,8
456,Random Forest,crab,Conditional,99.53146258,0.015075,8
457,Random Forest,crab,Gaussian,99.53146303,0.020226,8
458,Random Forest,crab,Copula,99.53146288,0.016769,8
459,Random Forest,cust,Separate models,99.65285813,3327.537089,8
460,Random Forest,cust,Zero,80.63903293457246,0.00039825080720000004,8
461,Random Forest,cust,Mean,99.9489595,0.00041396253299999996,8
463,Random Forest,cust,Uniform,80.63903293457246,0.03724272647,8
464,Random Forest,cust,Marginal,99.58753863,0.0007136,8
465,Random Forest,cust,Conditional,99.5875387,0.013289,8
466,Random Forest,cust,Gaussian,99.58753826,0.017363,8
467,Random Forest,cust,Copula,99.58753862,0.015658,8
468,Random Forest,diabetes,Separate models,99.89007157,5841.647982,8
469,Random Forest,diabetes,Zero,80.63903293457246,0.00039192423009999996,8
470,Random Forest,diabetes,Mean,95.09451162,0.0003948709833,8
472,Random Forest,diabetes,Uniform,99.55057234,0.04662264283,8
473,Random Forest,diabetes,Marginal,99.80215715,0.0009268999999999999,8
474,Random Forest,diabetes,Conditional,99.80215714,0.013867,8
475,Random Forest,diabetes,Gaussian,99.80215744,0.015098,8
476,Random Forest,diabetes,Copula,99.80215724,0.031756,8
477,Random Forest,energy_cool,Separate models,99.98509124,1858.592414,8
478,Random Forest,energy_cool,Zero,80.63903293457246,0.0004295855254,8
479,Random Forest,energy_cool,Mean,94.42227795,0.0004065672103,8
