dataset,Replacement Strategy,accuracy,time,features
222,computer,Uniform,0.0,2.48362088365,7.0
223,computer,Zero,54.0103411725,0.08555154868575,7.0
224,concrete,Conditional,94.239523954,0.01509,8.0
225,concrete,Copula,94.239524212,0.017012,8.0
226,concrete,Gaussian,94.239523964,0.0165548,8.0
227,concrete,Marginal,94.239523996,0.0167755999999999,8.0
228,concrete,Mean,83.469697436,0.107744402615,8.0
229,concrete,Separate models,99.908742782,3778.8495233456,8.0
230,concrete,Uniform,0.0,17.5318567622,8.0
231,concrete,Zero,17.231587028,0.1043129683959999,8.0
232,const-maint,Conditional,99.87037269,0.0088315,4.0
233,const-maint,Copula,99.8703727025,0.00439225,4.0
234,const-maint,Gaussian,99.8703727925,0.0045225,4.0
235,const-maint,Marginal,99.8703726575,0.0089354999999999,4.0
236,const-maint,Mean,81.413867775,0.0507238236319999,4.0
237,const-maint,Separate models,99.6675806375,29.4512621143475,4.0
238,const-maint,Uniform,42.037971195,0.27463011848725,4.0
239,const-maint,Zero,40.3147687525,0.04733131690325,4.0
240,country-data,Conditional,99.78247726,0.01204125,9.0
241,country-data,Copula,99.7824772725,0.0176869999999999,9.0
242,country-data,Gaussian,99.782477655,0.019522,9.0
243,country-data,Marginal,99.7824772675,0.012806,9.0
244,country-data,Mean,95.0804669125,0.1024559544634999,9.0
245,country-data,Separate models,99.8624719975,20489.955651706747,9.0
246,country-data,Uniform,35.67407904,2.681061845775,9.0
247,country-data,Zero,55.5878181825,0.105281682952,9.0
248,crab,Conditional,98.574556972,0.0149678,8.0
249,crab,Copula,98.574557146,0.0172335999999999,8.0
250,crab,Gaussian,98.574557104,0.017712,8.0
251,crab,Marginal,98.574557098,0.0160346,8.0
252,crab,Mean,95.040310706,0.1651836565786,8.0
253,crab,Separate models,99.78213433,4465.719200958,8.0
254,crab,Uniform,31.227864602,18.0652777442,8.0
255,crab,Zero,0.0,0.1550762157736,8.0
256,cust,Conditional,99.179036985,0.01399375,8.0
257,cust,Copula,99.17903692,0.01564275,8.0
258,cust,Gaussian,99.1790365325,0.015534,8.0
259,cust,Marginal,99.17903691,0.014876,8.0
260,cust,Mean,99.3766423225,0.107380335431,8.0
261,cust,Separate models,99.21345212,2325.746719487,8.0
262,cust,Uniform,0.0,12.741619480325,8.0
263,cust,Zero,0.0,0.103736513445,8.0
264,diabetes,Conditional,96.23148623,0.013207,8.0
265,diabetes,Copula,96.231486138,0.018341,8.0
266,diabetes,Gaussian,96.231486296,0.0148411999999999,8.0
267,diabetes,Marginal,96.23148626,0.0147732,8.0
268,diabetes,Mean,84.149838486,0.098840222389,8.0
269,diabetes,Separate models,99.80324042,2308.4018529086,8.0
270,diabetes,Uniform,75.526460936,11.9294425266,8.0
271,diabetes,Zero,29.776268112000004,0.0988399021186,8.0
272,diamond,Conditional,99.8290333275,0.01217875,7.0
273,diamond,Copula,99.829033285,0.012239,7.0
274,diamond,Gaussian,99.8290334525,0.0131085,7.0
275,diamond,Marginal,99.8290333175,0.01272225,7.0
276,diamond,Mean,97.8066917775,0.1030243353452499,7.0
277,diamond,Separate models,99.9961146675,1878.3239464605,7.0
278,diamond,Uniform,81.06048219,28.21793977675,7.0
279,diamond,Zero,26.2396649075,0.10031515541225,7.0
280,diamonds_filter,Conditional,99.7507171725,0.0068925,4.0
281,diamonds_filter,Copula,99.7507171225,0.007143,4.0
282,diamonds_filter,Gaussian,99.7507171425,0.0073935,4.0
283,diamonds_filter,Marginal,99.75071718,0.00723425,4.0
284,diamonds_filter,Mean,92.008947855,0.06096040660325,4.0
285,diamonds_filter,Separate models,99.7587287525,51.435717645325,4.0
286,diamonds_filter,Uniform,69.674770325,6.7394553201,4.0
287,diamonds_filter,Zero,8.185655175,0.0546681772525,4.0
288,diamonds_select,Conditional,87.795290016,0.0095769999999999,4.0
289,diamonds_select,Copula,87.79528995000001,0.0105318,4.0
290,diamonds_select,Gaussian,87.795289952,0.0088478,4.0
291,diamonds_select,Marginal,87.795290014,0.008779,4.0
292,diamonds_select,Mean,53.47096352799999,0.0633022890583999,4.0
293,diamonds_select,Separate models,99.682661518,119.69336648045,4.0
294,diamonds_select,Uniform,54.706137638,15.40638709466,4.0
295,diamonds_select,Zero,0.0,0.055556116682,4.0
296,economics,Conditional,97.9515447375,0.00702325,4.0
297,economics,Copula,97.9515448225,0.0089435,4.0
298,economics,Gaussian,97.9515449625,0.006893,4.0
299,economics,Marginal,97.951544405,0.00677525,4.0
300,economics,Mean,95.585786905,0.0592067392314999,4.0
301,economics,Separate models,98.4308416075,60.3173475251925,4.0
302,economics,Uniform,1.151548743,4.4318187757250005,4.0
303,economics,Zero,0.0,0.0566976035985,4.0
304,employee,Conditional,98.2863531,0.0215092,9.0
305,employee,Copula,98.286353212,0.0417139999999999,9.0
306,employee,Gaussian,98.286353448,0.1008958,9.0
307,employee,Marginal,98.286353126,0.0309142,9.0
308,employee,Mean,76.854100866,0.1424880500256,9.0
309,employee,Separate models,95.591239236,18735.605098216,9.0
310,employee,Uniform,75.54671971799999,21.30871624,9.0
311,employee,Zero,52.032445004,0.1439300888132,9.0
312,energy,Conditional,99.40637373,0.0194288,9.0
313,energy,Copula,99.406373772,0.0566123999999999,9.0
314,energy,Gaussian,99.406373746,0.0497361999999999,9.0
315,energy,Marginal,99.40637375,0.0609966,9.0
316,energy,Mean,95.89753323,0.1050937048172,9.0
317,energy,Separate models,99.898146426,3693.7915723334,9.0
318,energy,Uniform,0.0,10.90129482324,9.0
319,energy,Zero,2.065437844,0.1043490038085999,9.0
320,energy_cool,Conditional,99.298334012,0.011878,8.0
321,energy_cool,Copula,99.298334,0.0145122,8.0
322,energy_cool,Gaussian,99.298333986,0.0146892,8.0
323,energy_cool,Marginal,99.298334022,0.0184794,8.0
324,energy_cool,Mean,59.990276368,0.0987400327162,8.0
325,energy_cool,Separate models,99.837688446,1301.0591597308,8.0
326,energy_cool,Uniform,17.706952942,11.8665358838,8.0
327,energy_cool,Zero,7.212650718000001,0.1040711455515999,8.0
328,energy_heat,Conditional,99.626819902,0.0132508,8.0
329,energy_heat,Copula,99.626819902,0.0148266,8.0
330,energy_heat,Gaussian,99.626819898,0.0152642,8.0
331,energy_heat,Marginal,99.626819906,0.0159864,8.0
332,energy_heat,Mean,56.007287364,0.0982975475363999,8.0
333,energy_heat,Separate models,99.84544748,1910.7473157228,8.0
334,energy_heat,Uniform,39.920075604,12.01181813496,8.0
335,energy_heat,Zero,0.6689597422,0.0930474611648,8.0
336,forest,Conditional,98.584051065,0.0811655,12.0
337,forest,Copula,98.58405174,0.14665825,12.0
