,Approximation,Model,Dataset,Accuracy,Time,Features
455,MLE,svm,concrete,99.67938562,0.4632111217,8
754,Parametric KernelSHAP,svm,adult,-84.51084768,0.462719,12
446,MLE,svm,cms,99.66374282,0.4615773533,8
396,CES,svm,slump,99.12099466,0.4485236687,7
397,Cohort,svm,slump,99.12099466,0.4485236687,7
194,MLE,svm,airfoil,99.90743911,0.442648116,5
887,MLE,svm,housing,99.74037453,0.4411320529,13
209,Exhaustive,svm,japanemg,99.5253268,0.4367411137,5
714,IME,svm,telecom,99.73119667,0.432925587,11
581,MLE,svm,energy,99.54058865,0.4291370722,9
878,MLE,svm,heart_disease,99.31672843,0.4281339513,13
355,KernelSHAP,svm,france,99.59676225,0.4243895827,7
905,MLE,svm,mba,97.80664306,0.4235509004,13
806,MLE,svm,ozone,99.26863092,0.4229469244,12
752,MLE,svm,adult,99.40979233,0.4226080504,12
788,MLE,svm,forestfire,98.82644677,0.4215975812,12
221,MLE,svm,linnerud,96.2751652,0.4173610551,5
779,MLE,svm,forest,98.64979165,0.4160085477,12
860,MLE,svm,wine,99.80844657,0.413477777,12
689,MLE,svm,hybrid,93.05484426,0.4124002737,11
626,MLE,svm,asia_gdp,97.04433589,0.4123427187,10
797,MLE,svm,heartfailure,97.26162778,0.4121264063,12
743,MLE,svm,winequality-white,98.8953023,0.4115837661,11
833,MLE,svm,servo,91.34647491,0.4096955776,12
545,MLE,svm,cancer,99.22801072,0.4090138705,9
662,MLE,svm,spending,99.67808036,0.4082037653,10
707,MLE,svm,mtcars,87.56444521,0.4080631516,11
482,MLE,svm,diabetes,99.68306084,0.4055058656,8
842,MLE,svm,stockreturn,99.29630537,0.4050597548,12
653,MLE,svm,possumchest,99.62952692,0.3989641394,10
554,MLE,svm,casp,97.85317532,0.398520638,9
644,MLE,svm,possumbelly,97.95620371,0.3979393142,10
563,MLE,svm,country-data,99.68760028,0.396409618,9
283,KernelSHAP,svm,walmart,98.8853947,0.3961918643,6
500,MLE,svm,energy_heat,99.86080352,0.396110209,8
527,MLE,svm,wage,99.86205136,0.3932002877,8
869,MLE,svm,boston,98.28458895,0.3915111348,13
