,Approximation,Model,Dataset,Accuracy,Time,Features
276,Cohort,xg,sacramento,98.4430882,3.57749929,5
198,CES,xg,power,66.32162247,3.307469117,4
199,Cohort,xg,power,66.32162247,3.307469117,4
154,CES,xg,diamonds_select,95.63449023,3.115931299,4
155,Cohort,xg,diamonds_select,95.63449023,3.115931299,4
979,CES,xg,heartfailure,96.99386641,2.853133084,12
980,Cohort,xg,heartfailure,96.99386641,2.853133084,12
1090,Cohort,xg,heartage,99.24297153,2.792890562,13
1078,CES,xg,heart_disease,99.91510957,2.792890562,13
1079,Cohort,xg,heart_disease,99.91510957,2.792890562,13
1089,CES,xg,heartage,99.24297153,2.792890562,13
0,CES,xg,3droad,99.00062627,2.580064128,3
1,Cohort,xg,3droad,99.00062627,2.580064128,3
518,Cohort,xg,wholesale,99.70710097,2.384701432,7
517,CES,xg,wholesale,99.70710097,2.384701432,7
111,Cohort,xg,blood,57.61091027,2.37372904,4
110,CES,xg,blood,57.61091027,2.37372904,4
474,Cohort,xg,realestate,99.35759513,2.270537505,7
473,CES,xg,realestate,99.35759513,2.270537505,7
385,CES,xg,autompg,99.60536201,2.247960186,7
386,Cohort,xg,autompg,99.60536201,2.247960186,7
374,CES,xg,auto-mpg,99.60701366,2.222522864,7
375,Cohort,xg,auto-mpg,99.60701366,2.222522864,7
991,Cohort,xg,ozone,98.76671029,2.205187986,12
990,CES,xg,ozone,98.76671029,2.205187986,12
363,CES,xg,admission,99.88553153,2.202542519,7
364,Cohort,xg,admission,99.88553153,2.202542519,7
78,Cohort,xg,spx,99.79058733,2.192916929,3
77,CES,xg,spx,99.79058733,2.192916929,3
858,CES,xg,migration,93.46151699,2.05291086,11
859,Cohort,xg,migration,93.46151699,2.05291086,11
165,CES,xg,economics,99.914996,1.932003488,4
166,Cohort,xg,economics,99.914996,1.932003488,4
221,Cohort,xg,unemploy,99.91514375,1.925512303,4
220,CES,xg,unemploy,99.91514375,1.925512303,4
1035,Cohort,xg,stockreturn,99.98855309,1.889029276,12
1034,CES,xg,stockreturn,99.98855309,1.889029276,12
143,CES,xg,diamonds_filter,99.98077113,1.881867088,4
144,Cohort,xg,diamonds_filter,99.98077113,1.881867088,4
396,CES,xg,chanceadmit,99.97529495,1.685932147,7
397,Cohort,xg,chanceadmit,99.97529495,1.685932147,7
1046,Cohort,xg,stockrisk,99.48611432,1.669632689,12
1045,CES,xg,stockrisk,99.48611432,1.669632689,12
34,Cohort,xg,chickweight,99.41755388,1.445084844,3
33,CES,xg,chickweight,99.41755388,1.445084844,3
848,Cohort,xg,hybrid,90.03699147,1.388740759,11
847,CES,xg,hybrid,90.03699147,1.388740759,11
44,CES,xg,htwtindex,95.81197171,1.307357674,3
45,Cohort,xg,htwtindex,95.81197171,1.307357674,3
55,CES,xg,jewellery,99.93342912,1.289625793,3
56,Cohort,xg,jewellery,99.93342912,1.289625793,3
407,CES,xg,computer,99.92929555,1.222978865,7
408,Cohort,xg,computer,99.92929555,1.222978865,7
683,Cohort,xg,country-data,99.65299481,1.204889242,9
682,CES,xg,country-data,99.65299481,1.204889242,9
353,Cohort,xg,yatch,98.90943922,1.191213914,6
352,CES,xg,yatch,98.90943922,1.191213914,6
1024,Cohort,xg,servo,85.7580361,1.057413106,12
1023,CES,xg,servo,85.7580361,1.057413106,12
66,CES,xg,questions,99.83347457,0.897767801,3
67,Cohort,xg,questions,99.83347457,0.897767801,3
451,CES,xg,raotbl6,99.98246414,0.6809280442,7
452,Cohort,xg,raotbl6,99.98246414,0.6809280442,7
462,CES,xg,raotbl7,98.50089958,0.674265059,7
463,Cohort,xg,raotbl7,98.50089958,0.674265059,7
331,Cohort,xg,seeds,97.32434742,0.6729716391,6
330,CES,xg,seeds,97.32434742,0.6729716391,6
792,CES,xg,possumchest,99.51495467,0.6164151532,10
793,Cohort,xg,possumchest,99.51495467,0.6164151532,10
803,CES,xg,spending,99.5136495,0.6073024137,10
804,Cohort,xg,spending,99.5136495,0.6073024137,10
781,CES,xg,possumbelly,98.04972793,0.600800269,10
782,Cohort,xg,possumbelly,98.04972793,0.600800269,10
23,Cohort,xg,brainweight,99.41190679,0.5984569803,3
22,CES,xg,brainweight,99.41190679,0.5984569803,3
99,CES,xg,advertising,95.01652521,0.5573387363,4
100,Cohort,xg,advertising,95.01652521,0.5573387363,4
88,CES,xg,advertisements,94.96021243,0.5541246624,4
89,Cohort,xg,advertisements,94.96021243,0.5541246624,4
726,CES,xg,glass,99.84666802,0.5217672234,9
727,Cohort,xg,glass,99.84666802,0.5217672234,9
496,Cohort,xg,slump-flow,99.20363306,0.4826519419,7
495,CES,xg,slump-flow,99.20363306,0.4826519419,7
177,Cohort,xg,iris,99.97594755,0.4748696518,4
176,CES,xg,iris,99.97594755,0.4748696518,4
485,Cohort,xg,slump,99.12099466,0.4485236687,7
484,CES,xg,slump,99.12099466,0.4485236687,7
507,Cohort,xg,slump-mpa,99.55227861,0.4385399328,7
506,CES,xg,slump-mpa,99.55227861,0.4385399328,7
1083,MLE,xg,heart_disease,99.31672843,0.4281339513,13
995,MLE,xg,ozone,99.41071634,0.4227259657,12
929,MLE,xg,adult,99.40979233,0.4226080504,12
1105,MLE,xg,housing,95.4492238,0.4217347899,13
1116,MLE,xg,income,99.64881097,0.4216345,13
973,MLE,xg,forestfire,98.82644677,0.4215975812,12
1017,MLE,xg,seoulbike,99.77127757,0.4200460087,12
951,MLE,xg,bikehourly,99.78107478,0.4199665958,12
1127,MLE,xg,mba,99.69566679,0.4183455911,13
940,MLE,xg,airquality,99.80794058,0.4174843008,12
269,MLE,xg,linnerud,96.2751652,0.4173610551,5
962,MLE,xg,forest,98.64979165,0.4160085477,12
885,MLE,xg,telecom,99.65448918,0.4142874956,11
1061,MLE,xg,wine,99.80844657,0.413477777,12
852,MLE,xg,hybrid,93.05484426,0.4124002737,11
764,MLE,xg,asia_gdp,97.04433589,0.4123427187,10
984,MLE,xg,heartfailure,97.26162778,0.4121264063,12
863,MLE,xg,migration,93.32666524,0.4120220364,11
896,MLE,xg,winequality,99.8194021,0.4116556637,11
918,MLE,xg,winequality-white,98.8953023,0.4115837661,11
1094,MLE,xg,heartage,99.24297153,0.410957892,13
841,MLE,xg,facebook,99.51121473,0.4109315359,11
1028,MLE,xg,servo,91.34647491,0.4096955776,12
1006,MLE,xg,pumpkinseed,99.88311666,0.4089647987,12
808,MLE,xg,spending,99.67808036,0.4082037653,10
874,MLE,xg,mtcars,87.56444521,0.4080631516,11
907,MLE,xg,winequality-red,99.6025404,0.4077366439,11
753,MLE,xg,abalone,99.61570331,0.4060588873,10
1039,MLE,xg,stockreturn,99.29630537,0.4050597548,12
775,MLE,xg,poker,98.8961752,0.4046759251,10
830,MLE,xg,bikedaily,99.6472911,0.404038178,11
819,MLE,xg,telescope,99.34159112,0.4030891895,10
1050,MLE,xg,stockrisk,98.20080803,0.4024446652,12
742,MLE,xg,precip,98.47086974,0.4011760423,9
665,MLE,xg,cancer,99.57793205,0.3997461194,9
797,MLE,xg,possumchest,99.62952692,0.3989641394,10
676,MLE,xg,casp,97.85317532,0.398520638,9
126,MLE,xg,challenger,53.49215804,0.3983412385,4
709,MLE,xg,energy,99.89260701,0.3979667885,9
786,MLE,xg,possumbelly,97.95620371,0.3979393142,10
544,MLE,xg,cms,99.69509704,0.3969647039,8
687,MLE,xg,country-data,99.68760028,0.396409618,9
610,MLE,xg,energy_heat,99.86080352,0.396110209,8
390,MLE,xg,autompg,99.55633206,0.3960494922,7
654,MLE,xg,airline-costs,50.0,0.3953400135,9
