,Model,Algorithm,Dataset,MSE,R2,Time
4459,svm,SGD,weight-height,0.2600999999999996,81.03005815393863,0.1125680136680603
4460,svm,SGD,ToyotaCorolla,8930.249999999998,91.46963969033399,0.23883311271667482
4461,svm,SGD,mushroom,0.2208999999999999,83.92271539894395,0.13445761680603027
4462,svm,SGD,zoo,4.484429065743945,67.48139120404217,0.12689963509054744
4463,svm,SGD,IBM_CHRN_CSV,4197253.6384000005,75.91981545141795,0.22808565616607665
4464,svm,SGD,titanic,0.05290000000000001,70.12987012987013,0.11395355939865112
4465,svm,SGD,imdrating,208291.8321,87.95060661379217,0.1173580026626587
4466,svm,SGD,advertising_classification,31353.784899999988,64.11419913950378,0.20453945875167848
4467,svm,SGD,Bmi_male_female,0.01960000000000002,83.72093023255812,0.1141961908340454
4468,svm,SGD,FuelConsumptionCo2,52.27290000000004,88.72342022949394,0.1201607084274292
4469,svm,SGD,poker-hand,0.0,100.0,0.0996508264541626
4470,svm,SGD,iris,0.0016000000000000025,99.76415094339622,0.17860331535339355
4471,svm,SGD,credit-a,0.2116,66.94330286505968,0.12918838262557983
4472,svm,SGD,crime_data,159.948096885813,83.21214297500507,0.17058435608358943
4473,svm,SGD,census_data,0.04000000000000012,94.73684210526314,0.11023812770843505
4474,svm,SGD,anneal,0.008099999999999974,97.3169923815833,0.14581285238265992
4475,svm,SGD,hepatitis,0.023668639053254434,81.81818181818183,0.13417796446726873
4476,svm,SGD,balance-scale,0.3249,83.39749467662374,0.11204783916473389
4477,svm,SGD,soybean,0.03239999999999977,99.88914587581601,0.1432716989517212
4478,svm,SGD,car,0.05759999999999999,86.36363636363636,0.19520275831222533
4479,svm,SGD,horse-colic,0.12249999999999994,90.6460302916804,0.16003629684448242
4480,svm,SGD,bupa-liver-disorders,0.11560000000000001,62.40509439464053,0.13824784755706787
4481,svm,SGD,jobs_in_data,89.87039999999999,82.02266969868153,0.1851077890396118
4482,svm,SGD,movie_data,366097.6036000001,79.28896135476174,0.13589766263961792
4483,svm,SGD,cars,1691.383802351697,65.83190616713443,0.19198528925577799
4484,svm,SGD,uforeports,46311.04000000004,65.36087088489128,0.10763761520385742
4485,svm,SGD,monk-3,0.1849,93.53852271897829,0.11757578372955323
4486,svm,SGD,ecoli,3.348900000000001,63.18228353627154,0.1149065637588501
4487,nb,SGD,Housing_Data,0.08410000000000002,91.39883430288809,0.23958470106124877
4488,nb,SGD,melb_data,8301.032099999999,63.48572537074985,4.065056617259979
4489,nb,SGD,echocardiogram,0.10123966942148765,96.50641902217694,0.1500750184059143
4490,nb,SGD,Car_sales,134.025147928994,72.30161612740204,0.5823947741435125
4491,nb,SGD,monk-1,0.12959999999999997,72.10038269267957,0.14222346305847167
4492,nb,SGD,glass,19.434437611585004,83.92759207791732,0.2111732926167233
4493,nb,SGD,connect-4,0.03999999999999993,85.71428571428574,0.19940916776657105
4494,nb,SGD,auto-mpg,0.6723999999999996,79.8460068288844,0.18180257320404053
4495,nb,SGD,drug200,0.179981634527089,88.9132019236711,0.1423231435544563
4496,nb,SGD,healthcare-dataset-stroke-data,0.04409999999999999,73.41772151898735,0.3371527457237244
4497,nb,SGD,nursery,0.5040999999999998,82.0342848996757,0.19557102918624877
4498,nb,SGD,nba_logreg,27449.8624,65.24781252050641,12.18856920003891
4499,nb,SGD,hr-evaluation,9.999999999999988e-05,98.98989898989899,0.1500491976737976
4500,nb,SGD,seismic-bumps,0.022499999999999982,82.35294117647061,0.15621327638626098
4501,nb,SGD,breast-cancer,0.06382271468144042,66.19718309859155,0.23855993371260795
4502,nb,SGD,covertype,9.486400000000005,61.614582299661656,0.5408380007743836
4503,nb,SGD,Salaries,0.4095999999999998,83.99992912714033,0.15634971141815185
4504,nb,SGD,diabetes,0.10239999999999996,95.79680823415009,0.14734813213348388
4505,nb,SGD,audiology,120.12160000000002,98.50477912634605,0.5003980382283528
4506,nb,SGD,deliveries,6.002499999999994,87.4744060961116,0.6395003914833068
4507,nb,SGD,heart-c,0.1936,61.91528091282746,0.1548520064353943
4508,nb,SGD,churn,0.004900000000000002,92.47311827956989,0.32423053979873656
4509,nb,SGD,vote,0.1680999999999999,96.83822624561796,0.24534793376922606
4510,nb,SGD,results,25.917355371900825,73.9303923741964,0.5499643918239709
4511,nb,SGD,sonar,0.1646712875446335,80.46619847717797,0.19947346051534018
4512,nb,SGD,v3_Latest_Data_Science_Salaries,253.76489999999987,68.91983699396353,1.8684451961517334
4513,nb,SGD,insurance,0.07289999999999998,63.013698630137014,0.1429496145248413
4514,nb,SGD,wine,0.010341855788566476,98.27586206896552,0.16506663823531845
4515,nb,SGD,hungarian-heart-disease,0.14254477301124532,64.47416650935178,0.15019310493858493
4516,nb,SGD,laptop_price,0.7569,96.63795745588124,0.4025990271568298
4517,nb,SGD,pima-indians-diabetes,3.2040999999999995,79.44741617556924,0.1797413110733032
4518,nb,SGD,tic-tac-toe,0.009999999999999992,88.8888888888889,0.14462939739227296
4519,nb,SGD,adult,0.03239999999999999,78.04878048780488,0.2504815745353699
4520,nb,SGD,Titanic_Test,865.1712247324612,68.87451685900743,1.0563745498657227
4521,nb,SGD,Data_Preprocessing,0.0,100.0,0.23960049947102866
4522,nb,SGD,haberman,0.014400000000000008,86.36363636363636,0.2932410788536072
4523,nb,SGD,ElectronicsData,15.681600000000008,86.47436984275123,0.43103765964508056
4524,nb,SGD,500_Person_Gender_Height_Weight_Index,0.028899999999999985,79.51807228915663,0.13959315538406372
4525,nb,SGD,births,0.21160000000000004,60.94019332515005,0.14324794769287108
4526,nb,SGD,airports,68.33777777777777,94.88577777855551,0.621995480855306
4527,nb,SGD,credit-g,0.12959999999999997,69.37435133033084,0.15767720222473144
4528,nb,SGD,lymphography,0.7001249479383592,96.82967553573721,0.1934282487752486
4529,nb,SGD,Cust_Segmentation,8.880400000000007,88.1213917677462,0.8062442564964294
4530,nb,SGD,flag,1.1597633136094674,67.96115663100805,0.1999542859884409
4531,nb,SGD,drug_dt,0.17998163452708904,77.59846278217002,0.14040061921784372
4532,nb,SGD,cylinder-bands,0.022500000000000013,82.35294117647058,0.17297005414962768
4533,nb,SGD,Data_Uk,33404.8729,80.9410710186021,9.97126003265381
4534,nb,SGD,heart-statlog,0.22827160493827164,60.044912443466245,0.15302895704905192
4535,nb,SGD,phoneme,0.12250000000000004,76.963540215421,0.239636812210083
4536,nb,SGD,Churn_Modelling,2211317.702499999,78.55997984490386,70.25266234636307
4537,nb,SGD,wilt,0.0,100.0,0.28537525653839113
4538,nb,SGD,magic,0.06250000000000001,66.66666666666666,0.15090380907058715
4539,nb,SGD,sales-records,2.1025,76.18620192791359,0.23306516647338868
4540,nb,SGD,hayes-roth,0.04183884297520665,93.6866718628215,0.15840884772214023
4541,nb,SGD,housing,0.9603999999999999,76.0323191011233,0.19518251180648805
4542,nb,SGD,segment,5.6168999999999984,73.37334439840181,0.24255213737487794
4543,nb,SGD,monk-2,0.008099999999999998,90.10989010989012,0.1456046748161316
4544,nb,SGD,autos,1.5259515570934261,85.77593151603755,0.23203766696593342
4545,nb,SGD,FuelConsumption,88.73639999999999,77.29364528001337,1.30081205368042
4546,nb,SGD,cleveland,7.507600000000004,93.3638216406409,0.3246633005142212
4547,nb,SGD,Titanic_Data,92.91695780704134,95.99857971708222,2.363681058414647
4548,nb,SGD,employees,1180.6096000000005,96.08941800552954,3.179009394645691
4549,nb,SGD,Mall_Customers,0.058769513314967846,68.0,0.14388041785269073
4550,nb,SGD,50_Startups,2.610201524628348e-31,100.0,0.15460777282714844
4551,nb,SGD,weight-height,0.2601,67.80060812747001,0.138474543094635
4552,nb,SGD,ToyotaCorolla,459.24490000000037,91.84449780559059,7.585783777236938
4553,nb,SGD,mushroom,0.3025000000000001,98.30347296780644,0.16050410270690918
4554,nb,SGD,zoo,2.522491349480969,96.06860075419922,0.24207353591918945
4555,nb,SGD,IBM_CHRN_CSV,1929904.4241,94.77337192515097,139.7365949511528
4556,nb,SGD,titanic,0.06250000000000001,66.66666666666666,0.13857026338577272
4557,nb,SGD,imdrating,21132.436899999986,69.41265025147756,10.770919241905212
4558,nb,SGD,advertising_classification,25776.302500000023,66.65825026747234,11.010960109233856
4559,nb,SGD,Bmi_male_female,0.02889999999999999,79.51807228915662,0.13950140476226808
4560,nb,SGD,FuelConsumptionCo2,88.73639999999999,75.9514513764686,0.7204872751235962
4561,nb,SGD,poker-hand,0.0,100.0,0.27635921716690065
4562,nb,SGD,iris,0.003600000000000011,99.37543372657876,0.5170891618728638
