,Model,Replacement,Dataset,MSE,R2,Time
2485,dt,Uniform,hayes-roth,0.10123966942148765,82.56227758007117,0.14737688953226263
2486,dt,Uniform,housing,1.3923999999999994,65.1671358124298,0.14153722047805786
2487,dt,Uniform,segment,4.8841,75.41028714668441,0.14900064945220948
2488,dt,Uniform,monk-2,0.8464000000000002,78.7389137472969,0.13591033935546876
2489,dt,Uniform,autos,1.3496972318339098,65.44207612930052,0.15774926017312443
2490,dt,Uniform,FuelConsumption,26.419600000000013,78.84068928178989,0.3145462918281555
2491,dt,Uniform,cleveland,2.4336,74.66966758525156,0.2291567301750183
2492,dt,Uniform,Titanic_Data,551.0948669712443,65.15138898282878,0.22341974446030913
2493,dt,Uniform,employees,265.0384000000002,92.15798129644762,0.17117275714874267
2494,dt,Uniform,Mall_Customers,0.25,78.74564039676315,0.15156378168048282
2495,dt,Uniform,50_Startups,0.6782006920415226,72.09206750732606,0.15032043176538804
2496,dt,Uniform,weight-height,0.2600999999999996,64.77836450417077,0.1303829860687256
2497,dt,Uniform,ToyotaCorolla,710.7555999999998,87.97747120180904,0.18035208702087402
2498,dt,Uniform,mushroom,0.25,84.24584155051996,0.15300073146820067
2499,dt,Uniform,zoo,0.3460207612456751,85.69384835479255,0.1674707566990572
2500,dt,Uniform,IBM_CHRN_CSV,8445126.602499997,85.00707217749873,0.16753650426864625
2501,dt,Uniform,titanic,0.03239999999999999,78.04878048780489,0.13933301210403443
2502,dt,Uniform,imdrating,17231.812900000004,62.360649697450874,0.14618858814239502
2503,dt,Uniform,advertising_classification,70575.23560000001,91.92345138229837,0.2369861936569214
2504,dt,Uniform,Bmi_male_female,0.1936,62.74365883787066,0.1391433906555176
2505,dt,Uniform,FuelConsumptionCo2,26.419600000000006,78.8406892817899,0.15088195323944092
2506,dt,Uniform,poker-hand,29.702499999999997,70.86931912925587,0.1480857539176941
2507,dt,Uniform,iris,2.529285277364869e-31,100.0,0.24881547451019287
2508,dt,Uniform,credit-a,0.3721000000000001,80.15268944036148,0.14397422790527345
2509,dt,Uniform,crime_data,473.702422145329,81.18646798737281,0.1500849162831026
2510,dt,Uniform,census_data,0.08410000000000009,92.90833965764398,0.15076207637786865
2511,dt,Uniform,anneal,0.0036000000000000025,98.69753979739508,0.18355413675308227
2512,dt,Uniform,hepatitis,0.04474852071005916,73.17073170731709,0.32606292687929594
2513,dt,Uniform,balance-scale,0.27040000000000003,84.91980228171168,0.13585456132888793
2514,dt,Uniform,soybean,15.681600000000008,75.45625462711965,0.1783650827407837
2515,dt,Uniform,car,0.3249000000000001,64.87947248946058,0.21509234189987184
2516,dt,Uniform,horse-colic,0.1521,77.97495880737823,0.2633531212806702
2517,dt,Uniform,bupa-liver-disorders,0.3720999999999999,99.29237764087395,0.24935599088668822
2518,dt,Uniform,jobs_in_data,283.58560000000017,61.09586816042704,0.23164741039276124
2519,dt,Uniform,movie_data,523090.5625,90.7724012730631,0.14472058296203613
2520,dt,Uniform,cars,0.37111903818205966,99.91331953769598,0.2152494178421196
2521,dt,Uniform,uforeports,54209.80890000004,71.63794773954668,0.14220328092575074
2522,dt,Uniform,monk-3,0.16,87.7521124145246,0.1423661518096924
2523,dt,Uniform,ecoli,2.89,99.40656082367141,0.13711384057998657
2524,knn,Uniform,Housing_Data,0.0009000000000000012,96.90721649484536,0.7651672029495239
2525,knn,Uniform,melb_data,1463.8275999999998,79.26470089122994,0.44237929105758667
2526,knn,Uniform,echocardiogram,0.10123966942148752,88.70391961218863,0.41938508640636096
2527,knn,Uniform,Car_sales,27.160133136094675,71.28642418413347,0.42368964965526873
2528,knn,Uniform,monk-1,0.17640000000000008,94.42058422361255,0.41218731880187987
2529,knn,Uniform,glass,0.7381471930172588,66.07457773134249,0.4186505163219613
2530,knn,Uniform,connect-4,2.5921000000000003,79.9501452716662,1.8769428420066834
2531,knn,Uniform,auto-mpg,0.2916,97.07850139290687,0.6704153633117675
2532,knn,Uniform,drug200,0.15518824609733706,63.56978071468106,0.4112417986898711
2533,knn,Uniform,healthcare-dataset-stroke-data,0.15209999999999999,95.00478991252041,0.47101344347000124
2534,knn,Uniform,nursery,0.2809,82.96646655751621,0.48580318450927734
2535,knn,Uniform,nba_logreg,30502.62250000001,79.05853460958359,0.35166959047317503
2536,knn,Uniform,hr-evaluation,0.0009000000000000004,96.90721649484536,0.74083660364151
2537,knn,Uniform,seismic-bumps,0.00039999999999999986,97.95918367346938,0.3700996828079224
2538,knn,Uniform,breast-cancer,0.03590027700831024,76.62337662337661,0.409953488801655
2539,knn,Uniform,covertype,0.0009000000000000124,99.9460787250614,19.101823494434356
2540,knn,Uniform,Salaries,0.24999999999999997,68.24094149750151,0.40702660083770753
2541,knn,Uniform,diabetes,0.4624000000000001,96.1574470148781,0.43786409854888914
2542,knn,Uniform,audiology,33.024177777777794,94.76273996838195,0.39164458910624184
2543,knn,Uniform,deliveries,12.531600000000003,85.00207129248277,0.9204357314109802
2544,knn,Uniform,heart-c,0.16000000000000003,80.66019845757263,0.42669942617416384
2545,knn,Uniform,churn,0.0016000000000000005,95.83333333333333,0.39933404207229617
2546,knn,Uniform,vote,0.1936,61.06701765271578,0.5465890693664551
2547,knn,Uniform,results,2.0284664830119326,97.26784742492455,0.42234605008905585
2548,knn,Uniform,sonar,0.1312749422390253,91.02034144847313,0.37142722848532855
2549,knn,Uniform,SacramentocrimeJanuary2006,90444.54760000009,86.28845828197667,0.4284818744659424
2550,knn,Uniform,v3_Latest_Data_Science_Salaries,48.16359999999993,88.37123505829885,0.7410336828231812
2551,knn,Uniform,insurance,0.24999999999999992,97.56723005706031,0.41701034545898436
2552,knn,Uniform,wine,0.8376903188738868,85.69480376753475,0.42368994324894277
2553,knn,Uniform,hungarian-heart-disease,0.10662224073302788,82.9620741757516,0.41190213573222256
2554,knn,Uniform,laptop_price,9.1204,77.35716781973778,0.4305458950996399
2555,knn,Uniform,pima-indians-diabetes,0.004900000000000003,99.52199785386792,0.42062537908554076
2556,knn,Uniform,tic-tac-toe,0.0676,64.86486486486487,0.43307856798171995
2557,knn,Uniform,adult,0.04839999999999998,71.79487179487181,0.9782984042167664
2558,knn,Uniform,Titanic_Test,66.22592152199762,86.324319756607,0.40507794248646706
2559,knn,Uniform,Data_Preprocessing,0.0,100.0,0.4952276547749837
2560,knn,Uniform,haberman,0.019600000000000027,83.72093023255812,0.4047481417655945
2561,knn,Uniform,ElectronicsData,86.49000000000004,74.09057684603371,0.4145090413093567
2562,knn,Uniform,500_Person_Gender_Height_Weight_Index,0.1521,64.84049483951252,0.4161524748802185
2563,knn,Uniform,births,0.14439999999999992,96.92984143720453,0.4279746341705322
2564,knn,Uniform,airports,0.999999999999997,98.5576923076923,0.3226037502288818
2565,knn,Uniform,credit-g,0.04409999999999994,73.41772151898738,0.3462614798545837
2566,knn,Uniform,lymphography,0.32653061224489804,95.07984291029665,0.3447808246223294
2567,knn,Uniform,Cust_Segmentation,9.609999999999996,87.08432303834628,0.41318355083465574
2568,knn,Uniform,flag,1.0310059171597628,76.50245467026437,0.34325897510235126
2569,knn,Uniform,drug_dt,0.15518824609733703,74.66212620811244,0.40963246966853284
2570,knn,Uniform,cylinder-bands,0.4900000000000002,73.61568509693149,0.34745893001556394
2571,knn,Uniform,Data_Uk,1.3923999999999959,99.9858538310211,0.7236618995666504
2572,knn,Uniform,heart-statlog,0.3211111111111111,84.74852519879632,0.4204948875639174
2573,knn,Uniform,phoneme,0.11560000000000001,63.26414548822664,0.6864802718162537
2574,knn,Uniform,Churn_Modelling,68262.01289999994,78.63381440005011,0.9188056302070617
2575,knn,Uniform,wilt,0.0016000000000000025,95.83333333333333,0.4235899519920349
2576,knn,Uniform,airport-frequencies,3519901.2996000014,93.38348157839349,0.42346364974975587
2577,knn,Uniform,magic,0.06249999999999999,66.66666666666667,0.5135759496688843
2578,knn,Uniform,sales-records,1.1024999999999994,74.64059804485336,0.4733130645751953
2579,knn,Uniform,hayes-roth,0.11621900826446278,71.41041931385007,0.4130741141059182
2580,knn,Uniform,housing,8.880400000000002,61.825351284676344,0.46090508460998536
2581,knn,Uniform,segment,8.179599999999999,71.59685487155517,0.3774560523033142
2582,knn,Uniform,monk-2,0.09,77.85818317995975,0.41086314916610717
2583,knn,Uniform,autos,0.5192474048442908,94.9169884343295,0.3355556936825023
2584,knn,Uniform,FuelConsumption,135.72249999999997,90.69115096563019,0.8911464619636535
2585,knn,Uniform,cleveland,0.3363999999999998,94.95012735916106,0.6556109046936035
2586,knn,Uniform,Titanic_Data,825.8556839559258,97.14652007943887,0.6360816564716276
2587,knn,Uniform,employees,198.24640000000008,82.8247102716422,0.5236209630966187
2588,knn,Uniform,Mall_Customers,0.1322314049586777,95.54665906247521,0.41711889252518164
2589,knn,Uniform,50_Startups,0.22145328719723176,69.23076923076924,0.41141653060913086
2590,knn,Uniform,weight-height,0.24999999999999964,62.55223348102612,0.39962637662887573
2591,knn,Uniform,ToyotaCorolla,191.82250000000008,96.63607838701516,0.6283068585395813
2592,knn,Uniform,mushroom,0.25000000000000006,73.24701149323543,0.47092238664627073
2593,knn,Uniform,zoo,4.737024221453287,78.98383157717063,0.33511363057529225
2594,knn,Uniform,IBM_CHRN_CSV,1014129.5616,89.78440750149095,0.8082306003570556
2595,knn,Uniform,titanic,0.3721,65.21492783216048,0.4110680460929871
2596,knn,Uniform,imdrating,8407.056100000005,88.42543626805417,0.4141994071006775
2597,knn,Uniform,advertising_classification,12281.072399999995,97.93121486331444,0.6898031401634216
2598,knn,Uniform,Bmi_male_female,0.15210000000000004,74.11489769252496,0.4053605270385742
2599,knn,Uniform,FuelConsumptionCo2,135.72249999999997,96.20341647488415,0.42335234880447387
2600,knn,Uniform,poker-hand,0.3599999999999999,61.008716346756366,1.7836357307434083
2601,knn,Uniform,iris,0.0004000000000000031,99.9354422207876,0.7457119607925415
2602,knn,Uniform,credit-a,0.13690000000000013,85.95503787664306,0.42879417419433596
2603,knn,Uniform,crime_data,0.05536332179930764,99.92732558139535,0.6229795427883372
2604,knn,Uniform,census_data,0.07839999999999986,94.24206815511165,0.7045581674575806
2605,knn,Uniform,anneal,0.002499999999999987,99.1304347826087,0.36737882137298583
2606,knn,Uniform,hepatitis,0.013313609467455622,86.95652173913044,0.3346329377247737
2607,knn,Uniform,balance-scale,0.08410000000000001,79.28061098792807,0.4040709137916565
2608,knn,Uniform,soybean,9.672099999999999,66.06030619800056,0.36077428340911866
2609,knn,Uniform,car,0.33640000000000003,60.123281175912766,0.6553242635726929
2610,knn,Uniform,horse-colic,0.15210000000000004,80.42139828749183,0.5626032710075378
2611,knn,Uniform,bupa-liver-disorders,0.44890000000000013,62.77190994264325,0.7570298957824707
2612,knn,Uniform,jobs_in_data,53.72889999999988,91.45126396755711,0.9803186702728272
2613,knn,Uniform,movie_data,89964.00359999995,81.31534736751591,0.6875607132911682
2614,knn,Uniform,cars,249.42211652794302,85.86065885377575,0.6437402703296179
2615,knn,Uniform,uforeports,4638.9721000000045,93.88467927208694,0.4066009092330933
2616,knn,Uniform,monk-3,0.16,66.75220673239991,0.40865943431854246
2617,knn,Uniform,ecoli,3.312400000000001,92.83454349156452,0.40594857692718506
2618,logr,Uniform,Housing_Data,0.003600000000000006,93.61702127659574,0.19153598785400391
2619,logr,Uniform,melb_data,6135.588899999998,82.96776351033535,0.15053489923477173
2620,logr,Uniform,echocardiogram,0.11621900826446276,90.02732724282953,0.12647760998119006
2621,logr,Uniform,Car_sales,11.982248520710046,86.07625399663081,0.12570660847883958
2622,logr,Uniform,monk-1,0.1936,64.53310443573798,0.11705567359924317
2623,logr,Uniform,glass,0.0007934933544931607,99.93288590604027,0.18970904887562068
2624,logr,Uniform,connect-4,0.0016000000000000012,95.83333333333333,0.15474173545837402
2625,logr,Uniform,auto-mpg,0.34809999999999997,87.78782009344333,0.16231637954711914
2626,logr,Uniform,drug200,0.10123966942148765,88.44140705176751,0.11875324899500067
2627,logr,Uniform,healthcare-dataset-stroke-data,0.010000000000000004,88.88888888888889,0.11948570013046264
2628,logr,Uniform,nursery,2.2201000000000004,71.6478012219774,0.11474774599075317
2629,logr,Uniform,nba_logreg,121912.70560000003,66.39716013117777,0.1527575945854187
2630,logr,Uniform,hr-evaluation,0.0,100.0,0.12401142597198486
2631,logr,Uniform,seismic-bumps,3.0998444308020184e-34,85.32756252250276,0.15284958362579346
2632,logr,Uniform,breast-cancer,0.021717451523545702,82.71604938271606,0.1217178696080258
2633,logr,Uniform,covertype,0.008099999999999998,99.34777357275144,0.1597804021835327
2634,logr,Uniform,Salaries,0.24999999999999992,97.62835722461746,0.11084995985031128
2635,logr,Uniform,diabetes,0.06759999999999998,64.86486486486488,0.12064307212829589
2636,logr,Uniform,audiology,53.777777777777715,75.77207534990113,0.18161551475524904
2637,logr,Uniform,deliveries,2.1608999999999994,89.35994209492297,0.3232593297958374
2638,logr,Uniform,heart-c,0.12249999999999998,64.35879894831331,0.12699692726135253
2639,logr,Uniform,churn,0.00010000000000000009,98.98989898989899,0.13401180744171143
2640,logr,Uniform,vote,0.1521,72.11108767732625,0.13697416067123414
2641,logr,Uniform,results,75.11111111111113,63.507735824703374,0.1338227011940696
2642,logr,Uniform,sonar,0.24280613316530136,61.132313350622525,0.17382458673007245
2643,logr,Uniform,SacramentocrimeJanuary2006,5049053.940100001,84.91553526463677,0.13151322364807128
2644,logr,Uniform,v3_Latest_Data_Science_Salaries,28.408899999999964,84.39423844395581,0.1582130002975464
2645,logr,Uniform,insurance,0.1681,97.2210357080155,0.1209678292274475
2646,logr,Uniform,wine,0.007181844297615638,98.77450980392156,0.12077775648084738
2647,logr,Uniform,hungarian-heart-disease,0.13494377342773847,96.23829819493274,0.12790823469356616
2648,logr,Uniform,laptop_price,10.9561,65.7078549535878,0.11982691526412964
2649,logr,Uniform,pima-indians-diabetes,0.052899999999999926,95.85780283454703,0.1153659987449646
2650,logr,Uniform,tic-tac-toe,0.0169,85.05747126436782,0.12260356903076172
2651,logr,Uniform,adult,0.04000000000000001,75.0,0.14459895849227905
2652,logr,Uniform,Titanic_Test,712.3376932223541,91.36903276160136,0.1179254383876406
2653,logr,Uniform,Data_Preprocessing,0.0,100.0,0.1282788117726644
2654,logr,Uniform,haberman,0.004900000000000007,92.47311827956987,0.11544146537780761
2655,logr,Uniform,ElectronicsData,12.8881,67.76516373659081,0.13285378694534303
2656,logr,Uniform,500_Person_Gender_Height_Weight_Index,0.01689999999999999,85.05747126436782,0.11497221946716309
2657,logr,Uniform,births,0.17640000000000003,99.09312145848527,0.11584731817245483
2658,logr,Uniform,airports,79.80444444444447,60.642152779448736,0.1275242805480957
2659,logr,Uniform,credit-g,0.0441,73.41772151898734,0.13285175800323487
